text,term,gold
he said yes,AI,0
again we go,AI,0
maintain it,AI,0
the brain,AI,0
send email,AI,0
more detail,AI,0
retail price,AI,0
a fountain,AI,0
certain win,AI,0
a mountain,AI,0
the captain,AI,0
plain text,AI,0
he said yes,AI,0
again we go,AI,0
maintain it,AI,0
the brain,AI,0
send email,AI,0
more detail,AI,0
retail price,AI,0
a fountain,AI,0
certain win,AI,0
a mountain,AI,0
the captain,AI,0
plain text,AI,0
he said yes,AI,0
again we go,AI,0
maintain it,AI,0
the brain,AI,0
send email,AI,0
more detail,AI,0
retail price,AI,0
a fountain,AI,0
certain win,AI,0
a mountain,AI,0
the captain,AI,0
plain text,AI,0
open the book,OK,0
take a look,OK,0
let us cook,OK,0
it took time,OK,0
a steel hook,OK,0
the rook moved,OK,0
open the book,OK,0
take a look,OK,0
let us cook,OK,0
it took time,OK,0
a steel hook,OK,0
the rook moved,OK,0
open the book,OK,0
take a look,OK,0
let us cook,OK,0
it took time,OK,0
a steel hook,OK,0
the rook moved,OK,0
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
the AI wins the match,AI,1
press OK to continue,OK,1
press OK to continue,OK,1
press OK to continue,OK,1
press OK to continue,OK,1
press OK to continue,OK,1
press OK to continue,OK,1
press OK to continue,OK,1
press OK to continue,OK,1
press OK to continue,OK,1
press OK to continue,OK,1
press OK to continue,OK,1
press OK to continue,OK,1
reduce the cooldown now,cooldown,1
reduce the cooldown now,cooldown,1
reduce the cooldown now,cooldown,1
reduce the cooldown now,cooldown,1
reduce the cooldown now,cooldown,1
reduce the cooldown now,cooldown,1
reduce the cooldown now,cooldown,1
reduce the cooldown now,cooldown,1
reduce the cooldown now,cooldown,1
reduce the cooldown now,cooldown,1
collect the loot bag,loot,1
collect the loot bag,loot,1
collect the loot bag,loot,1
collect the loot bag,loot,1
collect the loot bag,loot,1
collect the loot bag,loot,1
collect the loot bag,loot,1
collect the loot bag,loot,1
collect the loot bag,loot,1
collect the loot bag,loot,1
冷却を減らす,冷却,1
冷却を減らす,冷却,1
冷却を減らす,冷却,1
冷却を減らす,冷却,1
冷却を減らす,冷却,1
冷却を減らす,冷却,1
冷却を減らす,冷却,1
冷却を減らす,冷却,1
戦利品を集める,戦利品,1
戦利品を集める,戦利品,1
戦利品を集める,戦利品,1
戦利品を集める,戦利品,1
戦利品を集める,戦利品,1
戦利品を集める,戦利品,1
戦利品を集める,戦利品,1
戦利品を集める,戦利品,1
